SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
2000184,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,5.5,6.75,,,,7.2,7.75,2021
2000185,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.25,,,5.75,7.25,5.25,9.2,,2021
2000186,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.5,,,8.5,6.25,4.75,8.8,,2021
2000187,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.25,9.0,7.0,,,,9.4,9.5,2021
2000188,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,6.5,4.75,5.25,8.2,,2021
2000190,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.25,,,5.25,5.5,5.5,4.4,,2021
2000191,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.5,,,6.0,7.75,7.0,4.0,,2021
2000192,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,6.5,6.75,6.25,,,2021
2000193,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,6.25,6.75,5.0,7.8,,2021
2000194,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.25,,,7.75,6.0,5.5,9.8,,2021
2000195,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,6.0,7.25,,,,8.4,7.75,2021
2000196,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,4.75,7.0,5.5,9.0,,2021
2000197,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.0,,,6.75,8.5,8.25,9.6,,2021
2000198,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,6.5,7.75,,,,8.8,8.5,2021
2000199,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.75,,,6.0,5.75,6.0,8.8,,2021
2000201,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,5.75,,,8.25,6.25,4.75,9.0,,2021
2000202,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,7.0,8.25,2.5,6.8,,2021
2000203,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,,,6.0,7.75,7.25,7.2,,2021
2000204,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,6.5,,,7.0,7.25,7.0,9.6,,2021
2000205,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.0,,,7.5,5.75,6.0,9.4,,2021
2000206,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,,,7.75,6.5,4.5,8.0,,2021
2000207,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.0,,,7.75,7.75,5.75,8.2,,2021
2000208,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,7.5,7.75,5.5,9.2,,2021
2000209,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.6,7.5,,,8.25,8.25,6.75,8.0,,2021
2000210,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.25,,,7.5,8.75,6.25,8.8,,2021
2000211,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,7.0,7.25,5.25,,,2021
2000212,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,4.75,7.25,,,,7.2,8.0,2021
2000213,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,6.5,,,8.0,7.75,7.25,8.4,,2021
2000214,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.0,7.75,8.5,,,,9.2,9.25,2021
2000215,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,7.25,5.25,4.0,9.0,,2021
2000216,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,7.25,7.75,6.75,5.6,,2021
2000217,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,6.0,8.25,,,,8.0,9.25,2021
2000218,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.0,,,5.75,6.25,3.75,8.6,,2021
2000219,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,7.25,5.75,6.75,10.0,,2021
2000220,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,8.25,5.75,4.75,9.0,,2021
2000221,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,4.75,,,7.75,7.0,5.5,8.0,,2021
2000222,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.5,,,5.75,5.25,5.0,8.2,,2021
2000223,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,7.0,5.25,7.5,,,,8.4,9.0,2021
2000224,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.0,6.5,7.75,,,,9.8,9.0,2021
2000225,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.5,,,6.5,5.25,6.0,9.8,,2021
2000226,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,6.0,4.75,5.25,8.2,,2021
