SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hoá,Sinh,Ngoại ngữ,GDCD,Năm thi
2002154,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.25,,,5.5,,3.5,5.0,,2024
2002155,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.25,6.0,5.5,,,,5.6,6.75,2024
2002156,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,8.25,6.75,7.0,,,,8.4,8.5,2024
2002157,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.75,6.0,6.75,,,,4.4,7.5,2024
2002158,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.5,8.25,8.25,,,,8.2,9.5,2024
2002159,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,8.25,6.75,6.75,,,,3.6,8.0,2024
2002160,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,9.75,,6.0,9.0,,2024
2002161,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,5.25,6.75,,,,6.4,6.5,2024
2002162,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,6.0,,6.0,4.8,,2024
2002163,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,5.25,7.0,7.25,,,,9.4,6.75,2024
2002164,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,6.25,,6.75,4.6,,2024
2002165,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,4.75,5.75,,,,5.2,8.0,2024
2002166,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,7.25,6.5,5.5,,,,6.6,8.75,2024
2002167,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,6.75,6.5,,,,7.8,8.0,2024
2002168,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,,,5.0,,7.5,4.2,,2024
2002169,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,7.25,8.5,,,,7.8,9.25,2024
2002170,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,4.25,,3.25,5.2,,2024
2002171,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,5.75,4.5,6.5,,,,4.8,7.25,2024
2002172,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.4,5.25,5.0,7.25,,,,3.4,7.25,2024
2002173,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,4.75,,,5.75,,6.75,9.2,,2024
2002174,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.75,,,5.75,,6.0,7.6,,2024
2002175,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,,,7.75,,6.75,4.8,,2024
2002176,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,7.0,,,4.5,,5.0,6.2,,2024
2002177,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.25,6.5,5.75,,,,4.6,8.75,2024
2002178,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.0,,,6.5,,6.0,5.0,,2024
2002179,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,7.5,,6.25,7.4,,2024
2002180,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.5,6.75,7.5,,,,7.6,7.75,2024
2002181,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.25,,,7.5,,6.75,7.0,,2024
2002182,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.0,7.25,7.75,,,,7.2,8.75,2024
2002183,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.75,7.75,8.0,,,,9.2,9.25,2024
2002184,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,5.75,7.25,,,,6.8,9.5,2024
2002185,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,7.0,,7.5,8.2,,2024
2002186,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.5,7.0,7.5,,,,4.0,9.5,2024
2002187,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.5,,,7.75,,5.25,5.2,,2024
2002188,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,8.25,,6.25,9.6,,2024
2002189,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.0,,,6.25,,5.5,7.0,,2024
2002190,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.25,,,7.0,,3.5,7.2,,2024
2002191,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.0,4.75,5.75,,,,5.2,8.25,2024
2002192,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,4.5,,,3.25,,4.0,7.6,,2024
2002193,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,6.25,7.25,,,,6.6,8.75,2024
2002194,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,6.5,7.0,,,,5.0,7.25,2024
2002195,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.75,,,2.0,,3.5,7.4,,2024
2002196,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,6.75,,4.75,5.8,,2024
2002197,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.25,,,8.25,,6.25,5.0,,2024
2002198,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.75,,,5.5,,7.0,4.4,,2024
2002199,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,4.5,,,4.5,,6.5,,,2024
2002200,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,5.75,,,3.25,,4.75,5.2,,2024
2002201,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.25,,,4.25,,5.75,5.2,,2024
2002202,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.0,,,6.75,,5.75,6.8,,2024
2002203,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.0,,,7.75,,6.75,8.4,,2024
2002204,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,4.25,,,5.25,,5.25,5.2,,2024
2002205,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,6.5,4.75,6.25,,,,2.6,8.75,2024
2002206,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,7.25,,,4.5,,5.5,5.0,,2024
2002207,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,6.0,5.75,4.75,,,,3.8,7.25,2024
2002208,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,8.0,6.25,6.5,,,,6.0,8.25,2024
2002209,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,4.0,6.75,,,,6.0,7.75,2024
2002210,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,7.75,6.75,,,,7.8,8.25,2024
2002211,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.0,5.75,6.5,,,,5.8,8.0,2024
2002212,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,7.0,8.25,,,,6.4,9.25,2024
2002213,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,5.25,,,5.5,,4.25,3.4,,2024
2002214,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.0,,,5.5,,6.0,6.0,,2024
2002215,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,4.25,,,2.75,,4.5,4.0,,2024
2002216,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,5.75,5.75,7.25,,,,3.6,8.0,2024
2002217,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.25,6.0,7.25,,,,8.0,8.75,2024
2002218,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,8.0,,,5.5,,5.75,8.6,,2024
2002219,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,,,4.0,,6.25,7.0,,2024
2002220,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,6.0,7.25,,,,6.4,8.5,2024
2002221,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.75,,,7.0,,7.25,8.8,,2024
2002222,Sở GD&ĐT Thành Phố Hồ Chí Minh,3.6,5.75,5.75,6.5,,,,3.0,7.5,2024
2002223,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,5.75,5.0,4.75,,,,6.6,6.75,2024
2002224,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,5.5,,,4.5,,3.75,6.0,,2024
2002225,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.5,,,2.5,,6.5,4.4,,2024
2002226,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,5.75,5.75,7.25,,,,5.6,8.0,2024
2002227,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.5,,,3.25,,5.0,6.2,,2024
2002228,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,6.25,6.75,6.75,,,,7.6,7.75,2024
2002229,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.0,,,5.0,,3.75,3.4,,2024
2002230,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.0,,,7.25,,6.25,7.4,,2024
2002231,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.75,,,7.25,,5.25,6.6,,2024
2002232,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,,,5.75,,4.25,8.4,,2024
2002233,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,7.0,,5.25,6.2,,2024
2002234,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.75,,,3.25,,4.75,6.0,,2024
2002235,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.25,5.25,4.5,,,,4.2,7.5,2024
2002236,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,,,7.0,,6.75,8.2,,2024
