Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX17,Quản trị văn phòng,D04,25.57,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX17,Quản trị văn phòng,C00,28.6,Thứ tự NV 7
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX18,Quốc tế học,D01,25.33,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX18,Quốc tế học,A01,24.68,Thứ tự NV 10
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX18,Quốc tế học,D78,26.18,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX18,Quốc tế học,C00,28.55,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX19,Tâm lý học,A01,26.47,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX19,Tâm lý học,C00,28.6,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX19,Tâm lý học,D01,26.18,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX19,Tâm lý học,D78,26.71,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX20,Thông tin - thư viện,C00,27.38,Thứ tự NV 7
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX20,Thông tin - thư viện,D14,26.23,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX20,Thông tin - thư viện,D78,25.55,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX20,Thông tin - thư viện,D01,24.82,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX21,Tôn giáo học,D78,24.78,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX21,Tôn giáo học,D01,24.49,Thứ tự NV 5
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX21,Tôn giáo học,A01,22.95,Thứ tự NV 8
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX21,Tôn giáo học,D04,24.75,Thứ tự NV 8
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX21,Tôn giáo học,C00,26.73,Thứ tự NV 12
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX22,Triết học,D04,24.3,Thứ tự NV 31
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX22,Triết học,D78,25.54,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX22,Triết học,D01,25.02,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX22,Triết học,C00,27.58,Thứ tự NV 11
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX23,Văn học,D78,26.82,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX23,Văn học,C00,28.31,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX23,Văn học,D01,25.99,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX23,Văn học,D04,25.3,Thứ tự NV 7
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX24,Việt Nam học,C00,27.75,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX24,Việt Nam học,D01,24.97,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX24,Việt Nam học,D04,25.29,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX24,Việt Nam học,D78,25.68,Thứ tự NV 7
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX25,Xã hội học,D78,26.34,Thứ tự NV 7
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX25,Xã hội học,D01,25.65,Thứ tự NV 11
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX25,Xã hội học,A01,25.2,Thứ tự NV 12
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX25,Xã hội học,C00,28.25,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX26,Hàn Quốc,C00,29.05,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX26,Hàn Quốc,D01,26.3,Thứ tự NV 1
